Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"36047005602","14000US36047005602","Census Tract 56.02, Kings County, New York","Census Tract 56.02, Kings County, New York","ny","140","00","ACSSF","0004528",,,,,"36","047",,,,"005602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66750
"36047005800","14000US36047005800","Census Tract 58, Kings County, New York","Census Tract 58, Kings County, New York","ny","140","00","ACSSF","0004529",,,,,"36","047",,,,"005800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46985
"36047005900","14000US36047005900","Census Tract 59, Kings County, New York","Census Tract 59, Kings County, New York","ny","140","00","ACSSF","0004530",,,,,"36","047",,,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70833
"36047006000","14000US36047006000","Census Tract 60, Kings County, New York","Census Tract 60, Kings County, New York","ny","140","00","ACSSF","0004531",,,,,"36","047",,,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86800
"36047006200","14000US36047006200","Census Tract 62, Kings County, New York","Census Tract 62, Kings County, New York","ny","140","00","ACSSF","0004532",,,,,"36","047",,,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63750
"36047006300","14000US36047006300","Census Tract 63, Kings County, New York","Census Tract 63, Kings County, New York","ny","140","00","ACSSF","0004533",,,,,"36","047",,,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111313
"36047006400","14000US36047006400","Census Tract 64, Kings County, New York","Census Tract 64, Kings County, New York","ny","140","00","ACSSF","0004534",,,,,"36","047",,,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71781
"36047006500","14000US36047006500","Census Tract 65, Kings County, New York","Census Tract 65, Kings County, New York","ny","140","00","ACSSF","0004535",,,,,"36","047",,,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156712
"36047006600","14000US36047006600","Census Tract 66, Kings County, New York","Census Tract 66, Kings County, New York","ny","140","00","ACSSF","0004536",,,,,"36","047",,,,"006600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62910
"36047006700","14000US36047006700","Census Tract 67, Kings County, New York","Census Tract 67, Kings County, New York","ny","140","00","ACSSF","0004537",,,,,"36","047",,,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158194
"36047006800","14000US36047006800","Census Tract 68, Kings County, New York","Census Tract 68, Kings County, New York","ny","140","00","ACSSF","0004538",,,,,"36","047",,,,"006800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45917
"36047006900","14000US36047006900","Census Tract 69, Kings County, New York","Census Tract 69, Kings County, New York","ny","140","00","ACSSF","0004539",,,,,"36","047",,,,"006900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132500
"36047007000","14000US36047007000","Census Tract 70, Kings County, New York","Census Tract 70, Kings County, New York","ny","140","00","ACSSF","0004540",,,,,"36","047",,,,"007000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50380
"36047007100","14000US36047007100","Census Tract 71, Kings County, New York","Census Tract 71, Kings County, New York","ny","140","00","ACSSF","0004541",,,,,"36","047",,,,"007100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34719
"36047007200","14000US36047007200","Census Tract 72, Kings County, New York","Census Tract 72, Kings County, New York","ny","140","00","ACSSF","0004542",,,,,"36","047",,,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36250
"36047007400","14000US36047007400","Census Tract 74, Kings County, New York","Census Tract 74, Kings County, New York","ny","140","00","ACSSF","0004543",,,,,"36","047",,,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34850
"36047007500","14000US36047007500","Census Tract 75, Kings County, New York","Census Tract 75, Kings County, New York","ny","140","00","ACSSF","0004544",,,,,"36","047",,,,"007500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154375
"36047007600","14000US36047007600","Census Tract 76, Kings County, New York","Census Tract 76, Kings County, New York","ny","140","00","ACSSF","0004545",,,,,"36","047",,,,"007600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38125
"36047007700","14000US36047007700","Census Tract 77, Kings County, New York","Census Tract 77, Kings County, New York","ny","140","00","ACSSF","0004546",,,,,"36","047",,,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135938
"36047007800","14000US36047007800","Census Tract 78, Kings County, New York","Census Tract 78, Kings County, New York","ny","140","00","ACSSF","0004547",,,,,"36","047",,,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47143
"36047008000","14000US36047008000","Census Tract 80, Kings County, New York","Census Tract 80, Kings County, New York","ny","140","00","ACSSF","0004548",,,,,"36","047",,,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59432
"36047008200","14000US36047008200","Census Tract 82, Kings County, New York","Census Tract 82, Kings County, New York","ny","140","00","ACSSF","0004549",,,,,"36","047",,,,"008200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40850
